MAPPO update 191/4882 | env_steps=391,168 | return=-50.502 | actor_loss=-0.0313 | value_loss=0.4831 | entropy=1.0239
MAPPO update 192/4882 | env_steps=393,216 | return=-61.503 | actor_loss=-0.0329 | value_loss=0.4807 | entropy=0.9958
MAPPO update 193/4882 | env_steps=395,264 | return=-58.736 | actor_loss=-0.0306 | value_loss=0.5111 | entropy=0.9916
MAPPO update 194/4882 | env_steps=397,312 | return=-63.674 | actor_loss=-0.0320 | value_loss=0.6051 | entropy=1.0007
MAPPO update 195/4882 | env_steps=399,360 | return=-55.743 | actor_loss=-0.0310 | value_loss=0.4676 | entropy=1.0010
MAPPO update 196/4882 | env_steps=401,408 | return=-53.106 | actor_loss=-0.0284 | value_loss=0.5433 | entropy=1.0030
MAPPO update 197/4882 | env_steps=403,456 | return=-57.033 | actor_loss=-0.0318 | value_loss=0.4593 | entropy=0.9778
MAPPO update 198/4882 | env_steps=405,504 | return=-56.216 | actor_loss=-0.0304 | value_loss=0.4957 | entropy=0.9925
MAPPO update 199/4882 | env_steps=407,552 | return=-59.593 | actor_loss=-0.0317 | value_loss=0.4245 | entropy=0.9959
MAPPO update 200/4882 | env_steps=409,600 | return=-55.490 | actor_loss=-0.0315 | value_loss=0.5171 | entropy=0.9797
MAPPO update 201/4882 | env_steps=411,648 | return=-55.067 | actor_loss=-0.0321 | value_loss=0.4344 | entropy=1.0136
MAPPO update 202/4882 | env_steps=413,696 | return=-59.947 | actor_loss=-0.0337 | value_loss=0.4832 | entropy=1.0105
MAPPO update 203/4882 | env_steps=415,744 | return=-54.108 | actor_loss=-0.0294 | value_loss=0.5039 | entropy=0.9829
MAPPO update 204/4882 | env_steps=417,792 | return=-60.538 | actor_loss=-0.0324 | value_loss=0.5602 | entropy=0.9890
MAPPO update 205/4882 | env_steps=419,840 | return=-61.821 | actor_loss=-0.0301 | value_loss=0.4386 | entropy=0.9998
MAPPO update 206/4882 | env_steps=421,888 | return=-59.654 | actor_loss=-0.0322 | value_loss=0.5596 | entropy=1.0002
MAPPO update 207/4882 | env_steps=423,936 | return=-53.255 | actor_loss=-0.0333 | value_loss=0.5572 | entropy=1.0228
MAPPO update 208/4882 | env_steps=425,984 | return=-60.649 | actor_loss=-0.0350 | value_loss=0.5145 | entropy=1.0039
MAPPO update 209/4882 | env_steps=428,032 | return=-52.461 | actor_loss=-0.0357 | value_loss=0.5781 | entropy=0.9813
MAPPO update 210/4882 | env_steps=430,080 | return=-62.294 | actor_loss=-0.0357 | value_loss=0.5878 | entropy=0.9778
MAPPO update 211/4882 | env_steps=432,128 | return=-55.082 | actor_loss=-0.0335 | value_loss=0.3963 | entropy=0.9749
MAPPO update 212/4882 | env_steps=434,176 | return=-56.422 | actor_loss=-0.0326 | value_loss=0.3749 | entropy=0.9659
MAPPO update 213/4882 | env_steps=436,224 | return=-56.320 | actor_loss=-0.0296 | value_loss=0.4763 | entropy=0.9668
MAPPO update 214/4882 | env_steps=438,272 | return=-58.071 | actor_loss=-0.0318 | value_loss=0.4243 | entropy=0.9633
MAPPO update 215/4882 | env_steps=440,320 | return=-49.776 | actor_loss=-0.0326 | value_loss=0.3998 | entropy=0.9520
MAPPO update 216/4882 | env_steps=442,368 | return=-56.425 | actor_loss=-0.0318 | value_loss=0.3957 | entropy=0.9497
MAPPO update 217/4882 | env_steps=444,416 | return=-55.330 | actor_loss=-0.0327 | value_loss=0.5766 | entropy=0.9607
